                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.87469,                0.51186,                  0.976,                0.90723,                0.87324,                0.92855,                 0.7481,                0.91284,                0.64699,                 1.0146,              0.0016337,              0.0016337,              0.0016337
                     77,                0.84968,                0.49277,                0.96596,                0.95088,                0.85211,                0.92008,                0.73286,                0.90563,                0.63341,                 1.0074,              0.0016287,              0.0016287,              0.0016287
                     78,                 0.8448,                0.49726,                0.96933,                0.92382,                 0.8662,                0.91963,                0.72362,                 0.9589,                0.66455,                 1.0575,              0.0016238,              0.0016238,              0.0016238
                     79,                0.85114,                0.50431,                0.96041,                0.94583,                0.86075,                0.92686,                0.73487,                0.90248,                0.62094,                 1.0115,              0.0016189,              0.0016189,              0.0016189
                     80,                0.85273,                0.50195,                0.96901,                0.94649,                0.87203,                0.92731,                0.74121,                0.93521,                 0.6264,                 1.0318,              0.0016139,              0.0016139,              0.0016139
                     81,                0.86129,                0.51191,                0.96278,                0.94818,                0.86268,                 0.9352,                0.74062,                0.88519,                 0.5862,                 1.0109,              0.0016089,              0.0016089,              0.0016089
                     82,                0.83468,                0.49872,                 0.9641,                 0.9243,                0.86268,                0.91341,                0.71803,                0.93095,                0.66984,                 1.0287,               0.001604,               0.001604,               0.001604
                     83,                0.82926,                0.48629,                0.96387,                 0.9589,                0.85563,                0.92376,                0.72816,                0.93616,                0.61062,                 1.0139,              0.0015991,              0.0015991,              0.0015991
                     84,                 0.8266,                0.48637,                0.95215,                0.94905,                0.85915,                0.93133,                0.74372,                0.91768,                0.62563,                  1.016,              0.0015941,              0.0015941,              0.0015941
                     85,                0.84204,                0.48265,                0.96905,                 0.9521,                 0.8399,                0.93118,                0.75005,                0.87849,                0.61189,                 1.0039,              0.0015892,              0.0015892,              0.0015892
                     86,                0.81665,                0.48121,                0.94822,                 0.9284,                0.86268,                0.93796,                0.75382,                0.88499,                0.61127,                0.99078,              0.0015842,              0.0015842,              0.0015842
                     87,                0.82646,                0.47213,                0.95259,                 0.9212,                0.86439,                0.93155,                0.74601,                0.88333,                0.57599,                 1.0065,              0.0015793,              0.0015793,              0.0015793
                     88,                0.82744,                0.48282,                0.95886,                0.95551,                 0.8169,                0.92491,                0.76244,                 0.8841,                0.69701,                 1.0066,              0.0015743,              0.0015743,              0.0015743
                     89,                0.82533,                0.48687,                 0.9518,                0.91022,                0.85563,                0.91887,                0.75186,                0.84018,                 0.6086,                0.98244,              0.0015693,              0.0015693,              0.0015693
                     90,                0.83361,                0.48303,                0.95601,                  0.906,                 0.8838,                0.94226,                0.75557,                0.88457,                0.56252,                 1.0083,              0.0015644,              0.0015644,              0.0015644
                     91,                0.80652,                0.47199,                0.93695,                0.92916,                0.86972,                0.93211,                0.73812,                0.90286,                0.62277,                 1.0034,              0.0015594,              0.0015594,              0.0015594
                     92,                0.82295,                0.48368,                0.94918,                0.93797,                0.85184,                0.93426,                0.75442,                  0.886,                0.63119,                  1.003,              0.0015545,              0.0015545,              0.0015545
                     93,                0.82875,                 0.4809,                 0.9545,                0.96252,                0.83803,                0.93535,                0.74734,                0.87259,                0.61685,                0.99405,              0.0015496,              0.0015496,              0.0015496
                     94,                0.83953,                0.48334,                0.96307,                0.92375,                0.85313,                0.93656,                0.73916,                 0.9362,                0.59726,                 1.0295,              0.0015446,              0.0015446,              0.0015446
                     95,                0.82313,                  0.474,                0.95319,                0.91584,                0.86268,                0.93654,                 0.7625,                0.84233,                0.59425,                0.97796,              0.0015397,              0.0015397,              0.0015397
                     96,                0.80851,                0.46601,                0.94811,                0.97107,                0.82734,                0.93256,                0.74706,                0.87114,                0.60353,                 0.9889,              0.0015347,              0.0015347,              0.0015347
                     97,                0.81994,                0.47815,                0.95144,                0.94952,                0.83803,                0.92962,                 0.7536,                 0.8683,                0.62659,                 1.0025,              0.0015298,              0.0015298,              0.0015298
                     98,                0.81988,                0.47209,                0.96258,                0.94493,                0.85211,                0.93004,                0.75557,                0.88201,                0.60266,                 0.9971,              0.0015248,              0.0015248,              0.0015248
                     99,                0.81679,                0.47007,                0.95242,                0.96817,                0.83099,                0.92475,                0.75229,                0.87013,                0.60145,                0.99477,              0.0015199,              0.0015199,              0.0015199
